﻿Dato,Wind,Temp,Sun,MWh,Flow
04-09-2020 00:00,3.71,14.5,227,106949,4840.23
05-09-2020 00:00,3.25,11.92,315,113096,5000.81
06-09-2020 00:00,2.79,10.58,412,113096,5273.5
07-09-2020 00:00,3.04,11.96,414,132704,5539.71
08-09-2020 00:00,4.67,15.5,277,109934,4966.42
09-09-2020 00:00,5.46,14.92,145,107132,4832.97
10-09-2020 00:00,3.29,11.25,411,125438,5355.16
11-09-2020 00:00,3.33,12.63,65,132493,5375.5
12-09-2020 00:00,4.21,13.5,84,121825,5097.02
13-09-2020 00:00,4.79,14.96,2,123246,5173.79
14-09-2020 00:00,2.42,16.29,594,108593,4852.14
15-09-2020 00:00,1.04,16.67,589,108593,4594.6
16-09-2020 00:00,3.58,12.71,318,102502,4777.47
17-09-2020 00:00,1.38,9.21,670,136690,5604.47
18-09-2020 00:00,0.92,8.75,685,150782,5942.04
19-09-2020 00:00,0.38,9.42,280,149897,5843.98
20-09-2020 00:00,0.46,9.5,178,154466,5882.35
21-09-2020 00:00,0.83,10.71,369,153340,5924.52
22-09-2020 00:00,1.29,11.25,536,153340,5740.39
23-09-2020 00:00,2.92,13.75,206,122594,5215.68
24-09-2020 00:00,5.21,13.46,302,124044,5239.99
25-09-2020 00:00,3.25,11.54,1,149420,5750.04
26-09-2020 00:00,3.67,12.13,11,152286,5765.19
27-09-2020 00:00,5.42,16.17,235,125837,5186.52
28-09-2020 00:00,2.96,14.04,25,128934,5278.72
29-09-2020 00:00,2.42,12.79,28,148231,5676.25
30-09-2020 00:00,2.33,13.13,65,144628,5605.46
01-10-2020 00:00,5,13.67,136,147988.78,5701.95
02-10-2020 00:00,5.33,13.88,36,143663.56,5566.41
03-10-2020 00:00,8.17,14.71,40,138836.41,5381.11
04-10-2020 00:00,3.38,12.38,281,132419.69,5281.71
05-10-2020 00:00,3.25,10.79,258,162000.96,6033.12
06-10-2020 00:00,2.79,10.38,50,177853.97,6348.88
07-10-2020 00:00,2.21,11.08,143,173466.55,6130.55
08-10-2020 00:00,2.79,9.67,7,198291.88,6601.34
09-10-2020 00:00,2.58,8.54,130,220340.77,7256.82
10-10-2020 00:00,2.88,7.58,175,214772.64,7145.79
11-10-2020 00:00,1.63,6.83,288,217044.69,7299.99
12-10-2020 00:00,1.13,6.88,53,248231.42,8122.16
