MWh;Flow;Middel vind;Middel temp;Sol i minutter;Dato
212924;9480,46;2,42;8,71;154;18/05/2021
216725;7263,58;3,13;8,13;363;19/05/2021
207773;6622,54;4,46;8,71;386;20/05/2021
199891;6480,85;4,33;9,25;99;21/05/2021
214197;6614,85;4,88;9,04;6;22/05/2021
223908;6904,87;6,13;8,42;262;23/05/2021
220680;6815,6;2,88;9,92;9;24/05/2021
214477;6688,18;1,88;9,75;24;25/05/2021
221114;6848,66;2,96;9,08;2;26/05/2021
209015;6583,09;3,63;9,96;231;27/05/2021
202385;6449,28;3,42;9,21;187;28/05/2021
179773;5948,2;2,71;11,54;627;29/05/2021
143985;5181,61;1,42;12,58;830;30/05/2021
135094;5005,14;2,46;12,63;819;31/05/2021
127549;4836,22;1,79;12,79;488;01/06/2021
124363;4692,33;4,04;13,33;419;02/06/2021
112395,01;4383,34;5,5;16,5;320;03/06/2021
99639;4070,46;3,29;16,5;718;04/06/2021
87433;3840,64;3,13;17,46;471;05/06/2021
882673;4330,74;1,33;14,83;42;06/06/2021
107778;4581,8;2,08;14,54;468;07/06/2021
102829;4554,22;2,75;14,46;762;08/06/2021
95140;4312,79;2,17;14,79;751;09/06/2021
88273;4126,51;2,13;16,29;783;10/06/2021
84914;4306,96;3,38;16,21;126;11/06/2021
96066,05;4393,94;5,96;13,33;340;12/06/2021
104397,02;4675,99;5,63;14;665;13/06/2021
96674;4321,27;4,38;14,46;301;14/06/2021
107975,01;4429,75;2,71;12,63;716;15/06/2021
100137;4221,74;1,92;14,67;908;16/06/2021
77294;3651,95;3,79;21,67;737;17/06/2021
70578;3559,04;2,63;18,42;356;18/06/2021
69352;3509,89;3,33;17,38;364;19/06/2021
85100,02;3886,56;4,17;14,08;48;20/06/2021
106231,03;4365,23;3,13;12,21;6;21/06/2021
216838,16;4694,32;3,92;13,25;139;22/06/2021
117730,15;4560,5;2,71;13,33;223;23/06/2021
2205896,06;4455,43;2,04;13,29;612;24/06/2021
101096,02;4270,61;1,83;13,79;363;25/06/2021
83747,82;3956,93;2;15,88;305;26/06/2021
90280,02;4014,18;3,04;14,21;346;27/06/2021
93043,03;4091,83;1,71;15,54;943;28/06/2021
89065,04;4091,6;2,38;14,83;203;29/06/2021
87831,12;4065,98;2,17;15,67;76;30/06/2021
91152,05;3988,27;2,88;16,96;409;01/07/2021
84970,01;4067,49;2,71;15,08;243;02/07/2021
86559,03;4120,8;2,13;15,75;5;03/07/2021
